Surface form	Link
Airbus parent EADS	http://dbpedia.org/resource/Airbus_Group
Airbus parent EADS	http://dbpedia.org/resource/Airbus_Group
Airbus superjumbo	http://dbpedia.org/resource/Airbus_A380
aircraft	http://dbpedia.org/resource/Boeing_787_Dreamliner
aircraft	NILL
aircraft	NILL
aircraft	NILL
aircraft manufacturer Boeing	http://dbpedia.org/resource/Boeing
Aircraft manufacturer Boeing	http://dbpedia.org/resource/Boeing
airliners	NILL
airlines	NILL
airlines	NILL
AirTanker	http://dbpedia.org/resource/AirTanker_Services
AirTanker Ltd.	http://dbpedia.org/resource/AirTanker_Services
AirTran	http://dbpedia.org/resource/AirTran_Airways
AirTran Airways	http://dbpedia.org/resource/AirTran_Airways
AirTran Airways	http://dbpedia.org/resource/AirTran_Airways
AirTran Airways	http://dbpedia.org/resource/AirTran_Airways
Alabama	http://dbpedia.org/resource/Alabama
Alan Mulally	http://dbpedia.org/resource/Alan_Mulally
Alan Mulally	http://dbpedia.org/resource/Alan_Mulally
all	NILL
all 228 people on board	NILL
all 51 of Indonesia air carriers	NILL
all Apple trademarks	http://dbpedia.org/resource/Trademark
all devices	NILL
all features of the phone including number dial , as well as making phone calls	NILL
all Singaporeans	NILL
all stock markets	NILL
all stocks in the S&amp;P 500 index	NILL
all their cars	NILL
America	http://dbpedia.org/resource/United_States
American	http://dbpedia.org/resource/United_States
American	http://dbpedia.org/resource/United_States
American	http://dbpedia.org/resource/United_States
American	http://dbpedia.org/resource/United_States
American	http://dbpedia.org/resource/United_States
American	http://dbpedia.org/resource/United_States
American	http://dbpedia.org/resource/United_States
American automobile manufacturer	http://dbpedia.org/resource/Chrysler
American automobile manufacturer	http://dbpedia.org/resource/General_Motors
American automobile manufacturer Chrysler LLC	http://dbpedia.org/resource/Chrysler
American stock exchanges	NILL
an aircraft	http://dbpedia.org/resource/Boeing_787_Dreamliner
an aircraft Boeing currently has under development	http://dbpedia.org/resource/Boeing_787_Dreamliner
an all-Airbus fleet consisting of 30 short-haul aircraft ( 24 A320s and 6 A321s ) and eight long-haul A330s	NILL
an amazing portfolio of cars and trucks	NILL
an American automaker which has filed for bankruptcy protection	http://dbpedia.org/resource/General_Motors
an application	NILL
an application that limits the volume produced	NILL
an April 2nd report in Ars Technica	NILL
an internal memo	NILL
an internal memo at Apple	NILL
an iPod	http://dbpedia.org/resource/IPod
an iPod capable of displaying video	NILL
an iPod capable of displaying video , as well as a new video section	NILL
an iPod portable music player , which is made by Apple Computer and marketed alongside the iTunes Music Store	http://dbpedia.org/resource/IPod
an upgraded camera	NILL
an upgraded camera , which also allows users to record video and sound	NILL
analysts	http://dbpedia.org/resource/Financial_analyst
analysts	http://dbpedia.org/resource/Financial_analyst
Angers	NILL
Another automaker	http://dbpedia.org/resource/General_Motors
Another automaker , General Motors ( GM	http://dbpedia.org/resource/General_Motors
Anthony Mann	http://dbpedia.org/resource/George_Mann_(judge)
Any members of the iPhone Developer Program	NILL
any other airliner in the world	NILL
any two cities on Earth	NILL
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple 's board of directors	NILL
Apple 's forthcoming Mac OS X Lion operating system	http://dbpedia.org/resource/Mac_OS_X_Lion
Apple 's iPod digital music players	http://dbpedia.org/resource/IPod
Apple 's iTunes	http://dbpedia.org/resource/ITunes_Store
Apple 's iTunes store	http://dbpedia.org/resource/ITunes_Store
Apple 's online media shop	http://dbpedia.org/resource/ITunes_Store
Apple 's OS X Tiger	http://dbpedia.org/resource/Mac_OS_X_Tiger
Apple 's proprietary Quartz	http://dbpedia.org/resource/Quartz_Compositor
Apple 's proprietary Quartz user interface	http://dbpedia.org/resource/Quartz_Compositor
Apple 's retail stores	http://dbpedia.org/resource/Apple_Store
Apple 's website	NILL
Apple 's website and customer service line	NILL
Apple ’ s C.E.O.,	http://dbpedia.org/resource/Steve_Jobs 
Apple and AT&T	NILL
Apple CEO	http://dbpedia.org/resource/Steve_Jobs 
Apple CEO	http://dbpedia.org/resource/Steve_Jobs 
Apple CEO	http://dbpedia.org/resource/Steve_Jobs 
Apple CEO Steve Jobs	http://dbpedia.org/resource/Steve_Jobs 
Apple CEO Steve Jobs	http://dbpedia.org/resource/Steve_Jobs 
Apple CEO Steve Jobs	http://dbpedia.org/resource/Steve_Jobs 
Apple Computer	http://dbpedia.org/resource/Apple_Inc.
Apple Computer	http://dbpedia.org/resource/Apple_Inc.
Apple Computer	http://dbpedia.org/resource/Apple_Inc.
Apple Computer	http://dbpedia.org/resource/Apple_Inc.
Apple Computer	http://dbpedia.org/resource/Apple_Inc.
Apple Computer	http://dbpedia.org/resource/Apple_Inc.
Apple Computer	http://dbpedia.org/resource/Apple_Inc.
Apple Computer	http://dbpedia.org/resource/Apple_Inc.
Apple Computer	http://dbpedia.org/resource/Apple_Inc.
Apple Computer	http://dbpedia.org/resource/Apple_Inc.
Apple Computer	http://dbpedia.org/resource/Apple_Inc.
Apple Computer	http://dbpedia.org/resource/Apple_Inc.
Apple Computer	http://dbpedia.org/resource/Apple_Inc.
Apple Computer	http://dbpedia.org/resource/Apple_Inc.
Apple Computer	http://dbpedia.org/resource/Apple_Inc.
Apple Computer	http://dbpedia.org/resource/Apple_Inc.
Apple Computer	http://dbpedia.org/resource/Apple_Inc.
Apple Computer	http://dbpedia.org/resource/Apple_Inc.
Apple Computer	http://dbpedia.org/resource/Apple_Inc.
Apple Computer 's defence	NILL
Apple Computer 's iTunes	http://dbpedia.org/resource/ITunes_Store
Apple Computer 's iTunes downloadable music service	http://dbpedia.org/resource/ITunes_Store
Apple Computer 's iTunes Music Store	http://dbpedia.org/resource/ITunes_Store
Apple Computer 's Mac OS X	http://dbpedia.org/resource/OS_X
Apple Computer CEO	http://dbpedia.org/resource/Steve_Jobs 
Apple Computer CEO and co-founder	http://dbpedia.org/resource/Steve_Jobs 
Apple Computer CEO and co-founder Steve Jobs	http://dbpedia.org/resource/Steve_Jobs 
Apple Computer CEO Steve Jobs	http://dbpedia.org/resource/Steve_Jobs 
Apple Corps	http://dbpedia.org/resource/Apple_Corps
Apple Corps	http://dbpedia.org/resource/Apple_Corps
Apple Corps	http://dbpedia.org/resource/Apple_Corps
Apple Corps	http://dbpedia.org/resource/Apple_Corps
Apple Corps	http://dbpedia.org/resource/Apple_Corps
Apple Corps	http://dbpedia.org/resource/Apple_Corps
Apple Corps	http://dbpedia.org/resource/Apple_Corps
Apple executive	http://dbpedia.org/resource/Mark_Papermaster
Apple executive	http://dbpedia.org/resource/Steve_Jobs 
Apple executive Steve Jobs	http://dbpedia.org/resource/Steve_Jobs 
Apple executives	NILL
Apple Inc.	http://dbpedia.org/resource/Apple_Inc.
Apple Inc.	http://dbpedia.org/resource/Apple_Inc.
Apple Inc.	http://dbpedia.org/resource/Apple_Inc.
Apple Inc.	http://dbpedia.org/resource/Apple_Inc.
Apple Inc.	http://dbpedia.org/resource/Apple_Inc.
Apple Inc.	http://dbpedia.org/resource/Apple_Inc.
Apple Inc.	http://dbpedia.org/resource/Apple_Inc.
Apple Inc.	http://dbpedia.org/resource/Apple_Inc.
Apple Inc.	http://dbpedia.org/resource/Apple_Inc.
Apple Inc.	http://dbpedia.org/resource/Apple_Inc.
Apple Inc.	http://dbpedia.org/resource/Apple_Inc.
Apple Inc.	http://dbpedia.org/resource/Apple_Inc.
Apple Inc.	http://dbpedia.org/resource/Apple_Inc.
Apple Inc.	http://dbpedia.org/resource/Apple_Inc.
Apple Inc. CEO	http://dbpedia.org/resource/Steve_Jobs 
Apple Inc. CEO	http://dbpedia.org/resource/Steve_Jobs 
Apple Inc. CEO Steve Jobs	http://dbpedia.org/resource/Steve_Jobs 
Apple Inc. CEO Steve Jobs	http://dbpedia.org/resource/Steve_Jobs 
Apple Inc. co-founder	http://dbpedia.org/resource/Steve_Jobs 
Apple Inc. co-founder Steve Jobs	http://dbpedia.org/resource/Steve_Jobs 
Apple Inc.,	http://dbpedia.org/resource/Apple_Inc.
Apple Inc.,	http://dbpedia.org/resource/Apple_Inc.
Apple Inc., Apple Corps	NILL
Apple Macintosh	http://dbpedia.org/resource/Macintosh
Apple mobile devices	NILL
Apple share prices	NILL
Apple TV	http://dbpedia.org/resource/Apple_TV
application software	NILL
applications	NILL
applications	NILL
approximately 4,300 jobs	NILL
Ars Technica	http://dbpedia.org/resource/Ars_Technica
Asia	http://dbpedia.org/resource/Asia
Asia	http://dbpedia.org/resource/Asia
Asia	http://dbpedia.org/resource/Asia
Asian	http://dbpedia.org/resource/Asia
Asian markets	NILL
Asian stock markets	NILL
Astra	http://dbpedia.org/resource/Saturn_Astra
AT&T	http://dbpedia.org/resource/AT&T
Atlanta	http://dbpedia.org/resource/Atlanta
Australia	http://dbpedia.org/resource/Australia
Australia	http://dbpedia.org/resource/Australia
Australia	http://dbpedia.org/resource/Australia
Australian	http://dbpedia.org/resource/Australia
Australian government	http://dbpedia.org/resource/Australia
Australian Prime Minister	http://dbpedia.org/resource/John_Howard
Australian Prime Minister John Howard	http://dbpedia.org/resource/John_Howard
Australian Prime Minister John Howard and federal industry minister Ian MacDonald	NILL
auto	NILL
auto	NILL
auto	NILL
auto	NILL
auto	NILL
auto	NILL
auto	NILL
auto	NILL
auto	NILL
auto company	http://dbpedia.org/resource/General_Motors
auto rescue plan	NILL
Automaker	http://dbpedia.org/resource/General_Motors
automaker Chrysler	http://dbpedia.org/resource/Chrysler
Automaker GM	http://dbpedia.org/resource/General_Motors
automobile	NILL
automobile	NILL
Automobile	NILL
automobile	NILL
automobile	NILL
automobile	NILL
automobile	NILL
automobile	NILL
automobile	NILL
Automobile	NILL
automobile	NILL
automobile	NILL
Automobile Craiova	http://dbpedia.org/resource/Automobile_Craiova
Automobile manufacturer	http://dbpedia.org/resource/Ford
automobiles	NILL
AVAS	NILL
backup system	NILL
Bangkok , Thailand	http://dbpedia.org/resource/Bangkok
Bank of America	http://dbpedia.org/resource/Bank_of_America
Bank of America	http://dbpedia.org/resource/Bank_of_America
bank shares	NILL
Barack Obama	http://dbpedia.org/resource/Barack_Obama
Barack Obama	http://dbpedia.org/resource/Barack_Obama
Barra	http://dbpedia.org/resource/Mary_Barra
base of the system	http://dbpedia.org/resource/Darwin_(operating_system)
bear market	http://dbpedia.org/resource/Market_trend
Beatles	http://dbpedia.org/resource/The_Beatles
Beatles	http://dbpedia.org/resource/The_Beatles
Beatles ' Apple Corps	http://dbpedia.org/resource/Apple_Corps
Best Buy	http://dbpedia.org/resource/Best_Buy
billions of dollars of bad loans	NILL
black boxes	http://dbpedia.org/resource/Flight_recorder
blended winglets	NILL
Boeing	http://dbpedia.org/resource/Boeing
Boeing	http://dbpedia.org/resource/Boeing
Boeing	http://dbpedia.org/resource/Boeing
Boeing	http://dbpedia.org/resource/Boeing
Boeing	http://dbpedia.org/resource/Boeing
Boeing	http://dbpedia.org/resource/Boeing
Boeing	http://dbpedia.org/resource/Boeing
Boeing	http://dbpedia.org/resource/Boeing
Boeing	http://dbpedia.org/resource/Boeing
Boeing	http://dbpedia.org/resource/Boeing
Boeing	http://dbpedia.org/resource/Boeing
Boeing	http://dbpedia.org/resource/Boeing
Boeing	http://dbpedia.org/resource/Boeing
Boeing	http://dbpedia.org/resource/Boeing
Boeing	http://dbpedia.org/resource/Boeing
Boeing	http://dbpedia.org/resource/Boeing
Boeing	http://dbpedia.org/resource/Boeing
Boeing	http://dbpedia.org/resource/Boeing
Boeing	http://dbpedia.org/resource/Boeing
Boeing	http://dbpedia.org/resource/Boeing
Boeing	http://dbpedia.org/resource/Boeing
Boeing	http://dbpedia.org/resource/Boeing
Boeing	http://dbpedia.org/resource/Boeing
Boeing	http://dbpedia.org/resource/Boeing
Boeing	http://dbpedia.org/resource/Boeing
Boeing	http://dbpedia.org/resource/Boeing
Boeing	http://dbpedia.org/resource/Boeing
Boeing	http://dbpedia.org/resource/Boeing
Boeing	http://dbpedia.org/resource/Boeing
Boeing	http://dbpedia.org/resource/Boeing
Boeing	http://dbpedia.org/resource/Boeing
Boeing	http://dbpedia.org/resource/Boeing
Boeing	http://dbpedia.org/resource/Boeing
Boeing	http://dbpedia.org/resource/Boeing
Boeing	http://dbpedia.org/resource/Boeing
Boeing	http://dbpedia.org/resource/Boeing
Boeing	http://dbpedia.org/resource/Boeing
Boeing 's 787	http://dbpedia.org/resource/Boeing_787_Dreamliner
Boeing 's newest commercial aircraft , the 787 `` Dreamliner	http://dbpedia.org/resource/Boeing_787_Dreamliner
Boeing 's rival during the 1998 evolved expendable launch vehicle source selection process	http://dbpedia.org/resource/Lockheed_Martin
Boeing 's upcoming new design the 7e7	http://dbpedia.org/resource/Boeing_787_Dreamliner
Boeing 717	http://dbpedia.org/resource/Boeing_717
Boeing 737s	http://dbpedia.org/resource/Boeing_737
Boeing 787 `` Dreamliner	http://dbpedia.org/resource/Boeing_787_Dreamliner
Boeing 787 Dreamliner aircraft	http://dbpedia.org/resource/Boeing_787_Dreamliner
Boeing 787 Dreamliner aircraft	http://dbpedia.org/resource/Boeing_787_Dreamliner
Boeing 787 Dreamliners	http://dbpedia.org/resource/Boeing_787_Dreamliner
Boeing 787 Dreamliners worth US$ 7.2 bn	http://dbpedia.org/resource/Boeing_787_Dreamliner
Boeing Commercial Airplanes	http://dbpedia.org/resource/Boeing
Boeing Commercial Airplanes	http://dbpedia.org/resource/Boeing
Boeing Launch Systems	NILL
Boeing-Air	http://dbpedia.org/resource/Boeing
bondholder	NILL
both	NILL
both consumers and the media	NILL
boxy '' cars of the 70s and 80s	NILL
bridge loans	NILL
Britain	http://dbpedia.org/resource/United_Kingdom
British	http://dbpedia.org/resource/United_Kingdom
British	http://dbpedia.org/resource/United_Kingdom
British	http://dbpedia.org/resource/United_Kingdom
British and Irish stock markets	NILL
British FTSE index	http://dbpedia.org/resource/FTSE_100_Index
bulletin boards	NILL
buyouts	NILL
buyouts and early retirement	NILL
California	http://dbpedia.org/resource/California
California	http://dbpedia.org/resource/California
California	http://dbpedia.org/resource/California
California	http://dbpedia.org/resource/California
California	http://dbpedia.org/resource/California
Canada	http://dbpedia.org/resource/Canada
Canada	http://dbpedia.org/resource/Canada
Canada	http://dbpedia.org/resource/Canada
Canada	http://dbpedia.org/resource/Canada
Canada	http://dbpedia.org/resource/Canada
Canadian	http://dbpedia.org/resource/Canada
Canadian	http://dbpedia.org/resource/Canada
Canadian	http://dbpedia.org/resource/Canada
Canadian	http://dbpedia.org/resource/Canada
Canadian	http://dbpedia.org/resource/Canada
Canadian loans	NILL
Canadian or US governments	NILL
car	NILL
car	NILL
car	NILL
car	NILL
car	NILL
car	NILL
car	NILL
car	NILL
car	NILL
car	NILL
cars	NILL
cars	NILL
cars	NILL
cars	NILL
cars and trucks	NILL
cash	http://dbpedia.org/resource/Money
Central banks across the world	http://dbpedia.org/resource/Central_bank
central London	http://dbpedia.org/resource/London
CEO	http://dbpedia.org/resource/Steve_Jobs 
CEO	NILL
CEO	NILL
CEO	NILL
CEO of GM	http://dbpedia.org/resource/Frederick_Henderson
Cerberus	http://dbpedia.org/resource/Cerberus_Capital_Management
Cerberus Capital Management	http://dbpedia.org/resource/Cerberus_Capital_Management
Chairman and Chief Operating Officer of AirTran Airways	NILL
Changi International Airport	http://dbpedia.org/resource/Singapore_Changi_Airport
Changi International Airport	http://dbpedia.org/resource/Singapore_Changi_Airport
chatrooms	NILL
chatrooms and on bulletin boards	NILL
Chiang Mai International Airport	http://dbpedia.org/resource/Chiang_Mai_International_Airport
Chicago	http://dbpedia.org/resource/Chicago
Chief executive Thomas Enders	http://dbpedia.org/resource/Tom_Enders
China	http://dbpedia.org/resource/China
China	http://dbpedia.org/resource/China
China	http://dbpedia.org/resource/China
